Zip,Weekday,Number of Trips
8810,3,1
8812,2,1
8816,2,1
8817,0,3
8817,2,1
8817,3,1
8817,4,4
8817,5,1
8820,0,3
8820,1,1
8820,2,1
8820,3,3
8820,4,2
8820,6,1
8824,0,1
8828,5,1
8830,0,5
8830,1,13
8830,2,12
8830,3,9
8830,4,3
8830,5,5
8830,6,2
8836,2,1
8836,4,1
8837,1,3
8837,2,6
8837,3,3
8837,4,1
8837,5,2
8840,0,2
8840,1,1
8840,2,2
8840,3,3
8840,4,2
8840,6,4
8846,4,1
8850,2,1
8852,5,1
8854,0,3
8854,1,1
8854,4,1
8854,5,8
8857,3,1
8857,5,1
8859,0,1
8859,6,1
8861,1,1
8861,3,2
8861,4,1
8861,6,1
8863,0,3
8863,2,1
8863,3,4
8863,4,2
8869,0,1
8869,2,2
8869,3,1
8869,4,1
8872,0,1
8872,6,1
8873,3,2
8873,6,1
8876,3,1
8879,3,2
8879,5,1
8879,6,2
8880,1,1
8880,2,3
8880,3,1
8880,4,2
8880,5,3
8882,2,1
8882,4,1
8882,6,1
8884,6,1
8889,2,1
8901,0,1
8901,1,1
8901,2,7
8901,3,2
8901,4,1
8901,5,2
8901,6,1
8902,0,1
8902,1,1
8902,3,2
8902,5,1
8904,0,6
8904,1,4
8904,2,9
8904,3,2
8904,4,12
8904,5,14
8904,6,1
10001,0,5199
10001,1,7356
10001,2,8088
10001,3,8440
10001,4,7471
10001,5,4749
10001,6,3384
10002,0,3335
10002,1,4019
10002,2,4147
10002,3,4728
10002,4,5493
10002,5,6208
10002,6,4741
10003,0,4454
10003,1,5940
10003,2,6238
10003,3,7138
10003,4,7630
10003,5,6693
10003,6,4262
10004,0,16
10004,1,12
10004,2,16
10004,3,24
10004,4,32
10004,5,26
10004,6,22
10005,0,704
10005,1,978
10005,2,962
10005,3,1142
10005,4,1079
10005,5,853
10005,6,477
10006,0,616
10006,1,854
10006,2,938
10006,3,994
10006,4,917
10006,5,698
10006,6,414
10007,0,971
10007,1,1242
10007,2,1419
10007,3,1531
10007,4,1448
10007,5,1233
10007,6,714
10009,0,2833
10009,1,3130
10009,2,3361
10009,3,3686
10009,4,4628
10009,5,4068
10009,6,2719
10011,0,6128
10011,1,8410
10011,2,9042
10011,3,10117
10011,4,10031
10011,5,8457
10011,6,5532
10012,0,6172
10012,1,8725
10012,2,9347
10012,3,10249
10012,4,9728
10012,5,8291
10012,6,5226
10013,0,2543
10013,1,3584
10013,2,3890
10013,3,4074
10013,4,3576
10013,5,2887
10013,6,1956
10014,0,3408
10014,1,4548
10014,2,4816
10014,3,5363
10014,4,5096
10014,5,5125
10014,6,4006
10016,0,932
10016,1,1098
10016,2,1237
10016,3,1357
10016,4,1725
10016,5,1509
10016,6,1014
10017,0,2527
10017,1,3085
10017,2,3299
10017,3,3824
10017,4,3801
10017,5,2718
10017,6,1866
10018,0,3383
10018,1,4252
10018,2,4679
10018,3,5013
10018,4,4884
10018,5,4527
10018,6,3381
10019,0,2191
10019,1,2716
10019,2,2683
10019,3,2944
10019,4,2898
10019,5,2649
10019,6,1901
10020,0,1556
10020,1,2300
10020,2,2470
10020,3,2427
10020,4,1946
10020,5,998
10020,6,707
10021,0,3135
10021,1,4085
10021,2,4172
10021,3,4236
10021,4,4217
10021,5,3100
10021,6,1954
10022,0,1780
10022,1,2605
10022,2,2665
10022,3,2700
10022,4,2430
10022,5,1481
10022,6,926
10023,0,2621
10023,1,3027
10023,2,3178
10023,3,3328
10023,4,3221
10023,5,2752
10023,6,2072
10024,0,21
10024,1,30
10024,2,38
10024,3,27
10024,4,40
10024,5,33
10024,6,28
10025,0,611
10025,1,634
10025,2,654
10025,3,698
10025,4,757
10025,5,740
10025,6,497
10026,0,361
10026,1,384
10026,2,374
10026,3,441
10026,4,463
10026,5,568
10026,6,472
10027,0,304
10027,1,315
10027,2,309
10027,3,350
10027,4,381
10027,5,373
10027,6,301
10028,0,2602
10028,1,3156
10028,2,3193
10028,3,3295
10028,4,3363
10028,5,2639
10028,6,1706
10029,0,553
10029,1,652
10029,2,730
10029,3,714
10029,4,743
10029,5,634
10029,6,443
10030,0,237
10030,1,222
10030,2,225
10030,3,234
10030,4,297
10030,5,296
10030,6,272
10031,0,126
10031,1,121
10031,2,137
10031,3,108
10031,4,133
10031,5,214
10031,6,176
10032,0,246
10032,1,267
10032,2,252
