Zip,Weekday,Hour,Number of Trips
10001,6,5,7
10001,6,6,4
10001,6,7,4
10001,6,8,9
10001,6,9,8
10001,6,10,13
10001,6,11,12
10001,6,12,25
10001,6,13,13
10001,6,14,20
10001,6,15,27
10001,6,16,25
10001,6,17,20
10001,6,18,27
10001,6,19,22
10001,6,20,16
10001,6,21,16
10001,6,22,15
10001,6,23,8
10002,0,0,8
10002,0,1,4
10002,0,2,4
10002,0,3,9
10002,0,4,7
10002,0,5,12
10002,0,6,19
10002,0,7,19
10002,0,8,30
10002,0,9,22
10002,0,10,17
10002,0,11,21
10002,0,12,10
10002,0,13,18
10002,0,14,13
10002,0,15,18
10002,0,16,11
10002,0,17,23
10002,0,18,20
10002,0,19,20
10002,0,20,20
10002,0,21,15
10002,0,22,20
10002,0,23,10
10002,1,0,6
10002,1,1,3
10002,1,2,4
10002,1,3,5
10002,1,4,5
10002,1,5,10
10002,1,6,24
10002,1,7,27
10002,1,8,20
10002,1,9,15
10002,1,10,16
10002,1,11,18
10002,1,12,21
10002,1,13,16
10002,1,14,26
10002,1,15,14
10002,1,16,19
10002,1,17,24
10002,1,18,24
10002,1,19,31
10002,1,20,38
10002,1,21,25
10002,1,22,25
10002,1,23,12
10002,2,0,7
10002,2,1,4
10002,2,2,4
10002,2,3,4
10002,2,4,5
10002,2,5,12
10002,2,6,31
10002,2,7,25
10002,2,8,24
10002,2,9,10
10002,2,10,23
10002,2,11,18
10002,2,12,16
10002,2,13,17
10002,2,14,15
10002,2,15,14
10002,2,16,21
10002,2,17,21
10002,2,18,30
10002,2,19,27
10002,2,20,24
10002,2,21,35
10002,2,22,22
10002,2,23,21
10002,3,0,10
10002,3,1,4
10002,3,2,3
10002,3,3,6
10002,3,4,6
10002,3,5,5
10002,3,6,22
10002,3,7,30
10002,3,8,25
10002,3,9,16
10002,3,10,18
10002,3,11,20
10002,3,12,17
10002,3,13,16
10002,3,14,19
10002,3,15,12
10002,3,16,17
10002,3,17,25
10002,3,18,30
10002,3,19,25
10002,3,20,39
10002,3,21,45
10002,3,22,38
10002,3,23,28
10002,4,0,14
10002,4,1,15
10002,4,2,7
10002,4,3,4
10002,4,4,9
10002,4,5,5
10002,4,6,16
10002,4,7,30
10002,4,8,29
10002,4,9,28
10002,4,10,21
10002,4,11,21
10002,4,12,11
10002,4,13,23
10002,4,14,21
10002,4,15,22
10002,4,16,26
10002,4,17,32
10002,4,18,27
10002,4,19,27
10002,4,20,36
10002,4,21,40
10002,4,22,55
10002,4,23,53
10002,5,0,46
10002,5,1,54
10002,5,2,29
10002,5,3,16
10002,5,4,7
10002,5,5,8
10002,5,6,4
10002,5,7,8
10002,5,8,7
10002,5,9,9
10002,5,10,14
10002,5,11,9
10002,5,12,13
10002,5,13,25
10002,5,14,29
10002,5,15,26
10002,5,16,33
10002,5,17,28
10002,5,18,28
10002,5,19,35
10002,5,20,32
10002,5,21,34
10002,5,22,38
10002,5,23,57
10002,6,0,74
10002,6,1,70
10002,6,2,40
10002,6,3,19
10002,6,4,4
10002,6,5,2
10002,6,6,5
10002,6,7,11
10002,6,8,6
10002,6,9,14
10002,6,10,14
10002,6,11,12
10002,6,12,20
10002,6,13,15
10002,6,14,20
10002,6,15,26
10002,6,16,27
10002,6,17,16
10002,6,18,16
10002,6,19,14
10002,6,20,12
10002,6,21,19
10002,6,22,19
10002,6,23,8
10003,0,0,3
10003,0,1,1
10003,0,2,6
10003,0,3,5
10003,0,4,10
10003,0,5,16
10003,0,6,23
10003,0,7,22
10003,0,8,33
10003,0,9,13
10003,0,10,15
10003,0,11,15
10003,0,12,20
10003,0,13,12
10003,0,14,23
10003,0,15,14
10003,0,16,18
10003,0,17,23
10003,0,18,28
10003,0,19,32
10003,0,20,30
10003,0,21,32
10003,0,22,19
10003,0,23,5
10003,1,0,7
10003,1,1,2
10003,1,2,1
10003,1,3,3
10003,1,4,6
