Zip,Weekday,Number of Trips
10119,6,783
10152,0,444
10152,1,642
10152,2,639
10152,3,712
10152,4,517
10152,5,129
10152,6,110
10153,0,1496
10153,1,1956
10153,2,1973
10153,3,1994
10153,4,1731
10153,5,1123
10153,6,752
10154,0,449
10154,1,639
10154,2,716
10154,3,725
10154,4,700
10154,5,337
10154,6,231
10162,0,671
10162,1,826
10162,2,782
10162,3,860
10162,4,819
10162,5,649
10162,6,470
10167,0,622
10167,1,853
10167,2,964
10167,3,1081
10167,4,736
10167,5,212
10167,6,173
10171,0,522
10171,1,789
10171,2,842
10171,3,862
10171,4,742
10171,5,362
10171,6,304
10199,0,1379
10199,1,1778
10199,2,1776
10199,3,1903
10199,4,1742
10199,5,1450
10199,6,1164
10271,0,483
10271,1,618
10271,2,683
10271,3,782
10271,4,706
10271,5,599
10271,6,376
10278,0,743
10278,1,874
10278,2,922
10278,3,974
10278,4,1082
10278,5,867
10278,6,604
10280,0,240
10280,1,273
10280,2,271
10280,3,336
10280,4,366
10280,5,334
10280,6,206
10282,0,522
10282,1,640
10282,2,674
10282,3,714
10282,4,634
10282,5,566
10282,6,356
10301,0,3
10301,1,1
10301,2,1
10301,3,2
10301,4,2
10301,5,6
10301,6,5
10302,1,1
10302,2,1
10302,3,1
10302,4,1
10303,0,3
10303,1,2
10303,2,1
10303,3,2
10303,4,3
10303,5,2
10304,0,3
10304,1,3
10304,2,1
10304,3,3
10304,4,5
10304,6,4
10305,0,6
10305,1,8
10305,2,2
10305,3,3
10305,4,4
10305,5,8
10305,6,5
10306,3,1
10306,5,1
10306,6,1
10308,4,1
10309,6,1
10310,2,1
10310,3,1
10310,4,2
10310,5,1
10310,6,1
10311,0,1
10311,2,2
10311,3,2
10311,4,1
10311,5,1
10311,6,1
10312,4,1
10314,0,1
10314,3,3
10314,6,3
10451,0,36
10451,1,48
10451,2,63
10451,3,57
10451,4,56
10451,5,56
10451,6,49
10452,0,10
10452,1,26
10452,2,38
10452,3,29
10452,4,24
10452,5,26
10452,6,19
10453,0,9
10453,1,6
10453,2,12
10453,3,8
10453,4,10
10453,5,10
10453,6,12
10454,0,14
10454,1,12
10454,2,9
10454,3,10
10454,4,15
10454,5,8
10454,6,18
10455,0,11
10455,1,9
10455,2,10
10455,3,7
10455,4,8
10455,5,13
10455,6,7
10456,0,9
10456,1,16
10456,2,7
10456,3,12
10456,4,15
10456,5,19
10456,6,19
10457,0,12
10457,1,11
10457,2,5
10457,3,12
10457,4,6
10457,5,10
10457,6,10
10458,0,35
10458,1,31
10458,2,44
10458,3,49
10458,4,50
10458,5,93
10458,6,55
10459,0,4
10459,1,4
10459,2,8
10459,3,8
10459,4,11
10459,5,11
10459,6,6
10460,0,4
10460,1,5
10460,2,7
10460,3,8
10460,4,10
10460,5,27
10460,6,18
10461,0,16
10461,1,11
10461,2,15
10461,3,13
10461,4,13
10461,5,14
10461,6,13
10462,0,18
10462,1,18
10462,2,24
10462,3,28
10462,4,19
10462,5,32
10462,6,15
10463,0,62
10463,1,61
10463,2,63
10463,3,59
10463,4,66
10463,5,64
10463,6,42
10464,0,2
10464,1,2
10464,2,4
10464,3,3
10464,4,5
10464,5,4
10464,6,2
10465,0,8
10465,1,6
10465,2,7
10465,3,12
10465,4,8
10465,5,16
10465,6,16
10466,0,6
10466,1,8
10466,2,7
10466,3,4
10466,4,7
10466,5,6
10466,6,5
10467,0,16
10467,1,16
10467,2,27
10467,3,22
10467,4,24
10467,5,23
10467,6,15
10468,0,25
10468,1,22
10468,2,34
10468,3,25
10468,4,29
10468,5,50
10468,6,35
10469,0,14
10469,1,12
10469,2,21
10469,3,15
10469,4,14
10469,5,20
10469,6,10
10470,0,4
10470,1,3
10470,2,10
10470,3,3
10470,4,3
10470,5,15
10470,6,10
10471,0,39
10471,1,34
10471,2,42
10471,3,58
10471,4,39
10471,5,39
10471,6,23
10472,0,8
10472,1,11
10472,2,5
10472,3,5
10472,4,12
10472,5,14
10472,6,10
10473,0,8
10473,1,9
10473,2,5
10473,3,5
10473,4,13
10473,5,7
10473,6,4
10474,0,4
10474,1,11
10474,2,5
10474,3,10
10474,4,11
10474,5,6
10474,6,3
10475,0,3
10475,1,7
10475,2,4
10475,3,5
10475,4,10
10475,5,23
10475,6,5
10502,4,3
10502,5,4
10502,6,1
10504,2,1
10504,3,2
10504,5,1
10504,6,1
10506,4,1
10507,1,1
10507,2,1
10507,4,1
10510,3,1
10510,6,1
10514,2,1
10514,3,1
10514,5,1
10514,6,2
10518,6,1
10522,0,1
10522,1,5
10522,3,2
10522,4,4
10522,5,2
10522,6,1
10523,0,2
10523,1,5
10523,2,2
10523,3,5
10523,5,3
10523,6,4
10524,0,1
10528,0,1
10528,1,6
10528,3,1
10528,4,3
10528,5,4
10528,6,3
10530,0,3
10530,1,1
10530,3,2
10530,4,2
10530,5,2
10530,6,2
10532,1,1
10532,2,2
10532,5,1
10532,6,1
10533,0,2
10533,1,4
10533,2,3
10533,3,1
10533,4,2
10533,5,2
10533,6,4
10538,0,4
10538,1,5
10538,2,5
10538,3,4
10538,4,8
10538,5,15
10538,6,6
10543,0,4
10543,1,1
10543,2,5
10543,3,4
10543,4,11
10543,5,13
10543,6,6
10549,2,2
10549,4,1
10550,0,1
10550,1,1
10550,2,6
10550,3,2
10550,4,2
10550,5,3
10552,0,1
10552,1,1
10552,2,2
10552,3,3
10552,4,2
10552,5,4
10552,6,3
10553,0,3
10553,1,4
10553,2,4
10553,3,1
10553,4,2
10553,5,7
10553,6,1
10566,6,1
10570,0,1
10570,4,1
10570,5,1
10573,0,5
10573,1,7
10573,2,7
10573,3,9
10573,4,3
10573,5,9
10573,6,6
10577,0,5
10577,1,12
10577,2,6
10577,3,14
10577,4,7
10577,5,4
10577,6,1
10580,0,6
10580,1,9
10580,2,14
10580,3,12
10580,4,7
10580,5,14
10580,6,8
10583,0,4
10583,1,8
10583,2,10
10583,3,6
10583,4,9
10583,5,6
10583,6,8
10589,5,1
10589,6,1
10591,0,5
10591,1,1
10591,2,3
10591,3,7
10591,4,10
10591,5,10
10591,6,7
10594,3,1
10594,5,1
10594,6,2
10595,0,1
10595,1,1
10595,3,2
10601,0,12
10601,1,17
10601,2,17
10601,3,14
10601,4,27
10601,5,11
10601,6,10
10603,0,3
10603,1,3
10603,2,1
10603,3,2
10603,4,6
10603,5,5
10603,6,2
10604,0,4
10604,1,11
10604,2,13
10604,3,8
10604,4,6
10604,5,1
10604,6,14
10605,0,10
10605,1,2
10605,2,11
10605,3,5
10605,4,5
10605,5,4
10605,6,1
10606,0,1
10606,1,1
10606,2,4
10606,3,3
10606,4,1
10606,5,1
10606,6,3
10607,0,2
10607,3,1
10607,4,6
10607,5,2
10607,6,3
10701,0,4
10701,1,5
10701,2,4
10701,3,2
10701,4,1
10701,5,3
10701,6,3
10703,0,1
10703,1,3
10703,2,2
10703,3,6
10703,4,3
10703,5,6
10703,6,8
10704,0,4
10704,1,8
10704,2,5
10704,3,8
10704,4,5
10704,5,7
10704,6,6
10705,0,7
10705,1,10
10705,2,8
10705,3,4
10705,4,6
10705,5,5
10705,6,4
10706,0,3
10706,1,1
10706,2,1
10706,3,1
10706,4,1
10706,5,4
10707,1,2
10707,2,1
10707,3,3
10707,4,2
10707,5,1
10708,0,11
10708,1,9
10708,2,8
10708,3,11
10708,4,12
10708,5,17
10708,6,7
10709,0,1
10709,1,1
10709,2,1
10709,3,4
10709,4,1
10709,5,3
10709,6,2
10710,0,1
10710,1,2
10710,2,2
10710,3,4
10710,4,2
10710,5,7
10710,6,7
10801,0,3
10801,1,3
10801,2,3
10801,3,2
10801,4,6
10801,5,7
10801,6,11
10803,0,5
10803,1,5
10803,2,3
10803,3,4
10803,4,3
10803,5,3
10803,6,2
10804,0,6
10804,1,2
10804,2,3
10804,3,3
10804,4,5
10804,5,2
10804,6,3
10805,2,1
10805,3,2
10805,4,8
10805,5,7
10805,6,5
10913,1,1
10913,4,1
10920,2,2
10923,5,1
10952,3,1
10952,6,1
10954,4,1
10954,5,1
10954,6,1
10956,5,1
10960,3,1
10960,6,2
10962,0,2
10962,1,1
10962,4,1
10964,1,3
10964,2,1
