Zip,Hour,Number of Trips
7104,21,5
7104,22,7
7104,23,4
7105,0,8
7105,1,9
7105,2,5
7105,3,4
7105,4,8
7105,5,8
7105,6,10
7105,7,8
7105,8,7
7105,9,10
7105,10,6
7105,11,9
7105,12,7
7105,13,9
7105,14,12
7105,15,14
7105,16,18
7105,17,9
7105,18,16
7105,19,13
7105,20,22
7105,21,16
7105,22,11
7105,23,12
7106,1,1
7106,5,2
7106,6,4
7106,7,1
7106,8,6
7106,9,5
7106,10,7
7106,11,3
7106,12,3
7106,13,10
7106,14,8
7106,15,8
7106,16,5
7106,17,5
7106,18,3
7106,19,6
7106,20,2
7106,21,2
7106,22,1
7106,23,2
7107,0,7
7107,1,2
7107,3,1
7107,5,2
7107,6,1
7107,7,1
7107,8,3
7107,9,1
7107,10,2
7107,11,1
7107,12,1
7107,13,1
7107,14,2
7107,15,1
7107,17,2
7107,18,3
7107,19,3
7107,20,4
7107,21,5
7107,22,1
7107,23,2
7108,0,3
7108,1,1
7108,2,1
7108,3,2
7108,4,4
7108,5,4
7108,6,3
7108,7,6
7108,8,6
7108,9,8
7108,10,9
7108,11,3
7108,12,7
7108,13,4
7108,14,4
7108,15,6
7108,16,7
7108,17,7
7108,18,2
7108,19,3
7108,20,4
7108,21,3
7108,22,2
7108,23,1
7109,0,6
7109,2,2
7109,3,1
7109,5,3
7109,7,1
7109,9,2
7109,10,2
7109,11,5
7109,12,3
7109,13,3
7109,14,2
7109,15,1
7109,17,2
7109,18,6
7109,19,1
7109,20,1
7109,21,2
7109,22,10
7109,23,5
7110,0,6
7110,1,3
7110,2,2
7110,3,1
7110,4,5
7110,5,2
7110,6,1
7110,7,8
7110,8,4
7110,9,3
7110,10,9
7110,11,4
7110,12,3
7110,13,3
7110,14,6
7110,15,9
7110,16,8
7110,17,6
7110,18,7
7110,19,12
7110,20,7
7110,21,6
7110,22,7
7110,23,9
7111,0,2
7111,1,5
7111,2,2
7111,3,3
7111,4,1
7111,5,1
7111,7,2
7111,8,2
7111,9,1
7111,11,2
7111,13,5
7111,14,8
7111,15,3
7111,16,6
7111,17,7
7111,18,3
7111,19,3
7111,20,3
7111,21,6
7111,22,3
7111,23,6
7112,0,2
7112,1,3
7112,2,3
7112,3,1
7112,4,2
7112,6,7
7112,7,4
7112,8,3
7112,9,5
7112,10,1
7112,11,5
7112,12,4
7112,13,6
7112,14,7
7112,15,9
7112,16,6
7112,17,5
7112,18,4
7112,19,5
7112,21,1
7112,22,4
7112,23,1
7114,0,795
7114,1,339
7114,2,49
7114,3,85
7114,4,768
7114,5,831
7114,6,849
7114,7,879
7114,8,848
7114,9,799
7114,10,1026
7114,11,1378
7114,12,1421
7114,13,1823
7114,14,1919
7114,15,2798
7114,16,2297
7114,17,1907
7114,18,1968
7114,19,1975
7114,20,1829
7114,21,1874
7114,22,2042
7114,23,1635
7201,0,9
7201,1,7
7201,2,3
7201,3,10
7201,4,11
7201,5,19
7201,6,52
7201,7,53
7201,8,33
7201,9,33
7201,10,25
7201,11,39
7201,12,31
7201,13,29
7201,14,33
7201,15,23
7201,16,38
7201,17,30
7201,18,32
7201,19,20
7201,20,15
7201,21,19
7201,22,12
7201,23,16
